Layer,Mode,Space,Silhouette_Score,Intra_Base,Intra_Epi,Intra_Ale,Inter_Base_Epi,Inter_Base_Ale,Inter_Epi_Ale
0,Absolute,Original,-0.01,0.65,0.64,0.57,0.64,0.6,0.58
0,Residual,Original,-0.01,0.07,0.09,0.11,0.07,0.04,0.01
0,Absolute,Null,-0.02,0.97,0.96,0.96,0.96,0.96,0.96
0,Residual,Null,-0.02,0.18,0.17,0.09,0.16,0.11,0.06
0,Absolute,Logits,-0.01,0.64,0.63,0.56,0.63,0.59,0.57
0,Residual,Logits,-0.01,0.07,0.09,0.11,0.07,0.04,0.0
4,Absolute,Original,0.02,0.45,0.45,0.42,0.43,0.4,0.39
4,Residual,Original,0.02,-0.01,0.07,0.11,-0.0,-0.0,0.01
4,Absolute,Null,-0.01,0.72,0.75,0.73,0.73,0.72,0.73
4,Residual,Null,-0.01,0.0,0.08,0.02,0.03,-0.0,0.02
4,Absolute,Logits,0.02,0.45,0.45,0.42,0.43,0.4,0.39
4,Residual,Logits,0.02,-0.01,0.07,0.11,-0.0,-0.0,0.01
8,Absolute,Original,0.03,0.54,0.54,0.51,0.52,0.49,0.48
8,Residual,Original,0.03,-0.01,0.1,0.14,-0.0,-0.0,0.04
8,Absolute,Null,-0.02,0.88,0.92,0.93,0.89,0.88,0.92
8,Residual,Null,-0.02,-0.01,0.03,0.27,-0.01,-0.01,0.09
8,Absolute,Logits,0.03,0.54,0.53,0.51,0.51,0.49,0.48
8,Residual,Logits,0.03,-0.01,0.1,0.14,0.0,-0.0,0.04
12,Absolute,Original,0.01,0.53,0.61,0.57,0.55,0.52,0.56
12,Residual,Original,0.01,-0.0,0.1,0.12,0.0,0.0,0.05
12,Absolute,Null,-0.01,0.95,0.99,0.98,0.97,0.96,0.98
12,Residual,Null,-0.01,0.06,0.49,0.39,0.15,0.14,0.36
12,Absolute,Logits,0.01,0.5,0.56,0.52,0.51,0.49,0.51
12,Residual,Logits,0.01,-0.0,0.09,0.11,0.0,-0.0,0.05
15,Absolute,Original,0.02,0.62,0.72,0.67,0.66,0.64,0.68
15,Residual,Original,0.02,-0.01,0.12,0.09,0.01,0.0,0.06
15,Absolute,Null,-0.05,0.99,1.0,1.0,0.99,0.99,1.0
15,Residual,Null,-0.05,0.01,0.42,0.34,0.09,0.09,0.37
15,Absolute,Logits,0.01,0.48,0.57,0.51,0.5,0.47,0.51
15,Residual,Logits,0.01,-0.01,0.1,0.08,0.0,-0.0,0.04
